"Disaster Number","Declaration Date","Disaster Name","Incident Begin Date","Incident End Date","Declaration Type","State Code","State Name","Incident Type","Closeout Date","Region"
2018,"09-08-1976","HUNTERSVILLE","09-08-1976","09-08-1976","Fire Suppression","MN","Minnesota","Fire","01-17-1979",5
520,"09-03-1976","HURRICANE BELLE","09-03-1976","09-03-1976","Major Disaster","NY","New York","Hurricane","05-29-1987",2
519,"08-21-1976","SEVERE STORMS, HIGH WINDS & FLOODING","08-21-1976","08-21-1976","Major Disaster","NJ","New Jersey","Flood","09-26-1985",2
518,"08-05-1976","SEVERE STORMS, HIGH WINDS & FLOODING","08-05-1976","08-05-1976","Major Disaster","VT","Vermont","Flood","04-16-1981",1
517,"08-02-1976","SEVERE STORMS & FLASH FLOODING","08-02-1976","08-02-1976","Major Disaster","CO","Colorado","Flood","05-21-1983",8
3016,"07-21-1976","DROUGHT","07-21-1976","07-21-1976","Emergency","ND","North Dakota","Drought","01-29-1979",8
516,"07-21-1976","SEVERE STORMS & FLOODING","07-21-1976","07-21-1976","Major Disaster","MO","Missouri","Flood","11-06-1981",7
515,"07-21-1976","SEVERE STORMS & FLOODING","07-21-1976","07-21-1976","Major Disaster","NY","New York","Flood","05-30-1986",2
514,"07-13-1976","SEVERE STORMS, HIGH WINDS & FLOODING","07-13-1976","07-13-1976","Major Disaster","KS","Kansas","Flood","08-18-1988",7
513,"07-07-1976","HIGH WINDS, FLASH FLOODS","07-07-1976","07-07-1976","Major Disaster","PA","Pennsylvania","Flood","08-30-1984",3
512,"06-29-1976","FLASH FLOODING","06-29-1976","06-29-1976","Major Disaster","NY","New York","Flood","09-26-1985",2
511,"06-25-1976","FLASH FLOODING & MUDSLIDES","06-25-1976","06-25-1976","Major Disaster","SD","South Dakota","Flood","04-16-1981",8
510,"06-19-1976","SEVERE STORMS & FLOODING","06-19-1976","06-19-1976","Major Disaster","TX","Texas","Flood","08-27-1981",6
509,"06-18-1976","SEVERE STORMS, TORNADOES  & FLOODING","06-18-1976","06-18-1976","Major Disaster","IL","Illinois","Severe Storm","11-06-1981",5
3015,"06-17-1976","DROUGHT","06-17-1976","06-17-1976","Emergency","SD","South Dakota","Drought","02-23-1979",8
3014,"06-17-1976","DROUGHT","06-17-1976","06-17-1976","Emergency","WI","Wisconsin","Drought","03-14-1979",5
3013,"06-17-1976","DROUGHT","06-17-1976","06-17-1976","Emergency","MN","Minnesota","Drought","03-14-1979",5
508,"06-17-1976","TYPHOONS PAMELA & THERESE","06-17-1976","06-17-1976","Major Disaster","MP","Northern Mariana Islands","Typhoon","06-02-1987",9
507,"06-11-1976","SEVERE STORMS & FLOODING","06-11-1976","06-11-1976","Major Disaster","GA","Georgia","Flood","11-03-1978",4
505,"06-06-1976","DAM COLLAPSE, FLOODING","06-06-1976","06-06-1976","Major Disaster","ID","Idaho","Flood","08-18-1982",10
504,"06-05-1976","SEVERE STORMS & FLOODING","06-05-1976","06-05-1976","Major Disaster","OK","Oklahoma","Flood","11-06-1981",6
